Train Time	Valid Time	Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
3.221786	0.975162	0.500000	0.788056	0.790318	70.704225	66.502463	
3.067708	1.002446	0.500000	0.838648	0.706033	69.929577	75.369458	
3.256445	1.040864	0.500000	0.782865	1.234934	70.774648	56.157636	
3.139967	0.988319	0.500000	0.808920	0.813569	69.929577	69.950739	
3.261326	1.066533	0.500000	0.780300	0.784503	70.422535	76.354680	
3.508278	1.075458	0.500000	0.771276	0.738073	71.338028	70.443350	
3.706008	1.156097	0.500000	0.764662	0.825169	71.830986	63.054187	
3.643991	1.135829	0.500000	0.748364	0.973461	73.732394	65.024631	
3.446987	0.998717	0.500000	0.751447	0.799191	72.253521	67.487685	
3.180283	1.023164	0.500000	0.742932	2.407532	71.690141	54.679803	
3.353090	1.151617	0.500000	0.771160	0.912462	72.042254	67.487685	
3.373159	1.141531	0.500000	0.716910	1.101251	73.169014	61.083744	
3.267464	0.987831	0.500000	0.754406	1.015834	73.380282	57.635468	
3.076905	0.976940	0.500000	0.785619	0.865419	70.704225	66.502463	
3.177044	0.987864	0.500000	0.786348	1.494853	71.126761	59.605911	
3.108941	0.988961	0.500000	0.744149	1.010934	72.887324	68.965517	
3.331139	1.082028	0.500000	0.760345	1.029917	72.394366	61.083744	
3.415172	0.940367	0.500000	0.730240	0.819662	72.887324	66.009852	
3.168029	0.957734	0.500000	0.741680	1.067643	72.676056	66.009852	
3.165653	0.957741	0.500000	0.711712	1.124485	73.028169	54.187192	
3.139750	0.963122	0.500000	0.740131	1.302256	73.380282	55.172414	
3.182503	0.969078	0.500000	0.851944	1.336290	68.239437	60.098522	
3.092185	0.971005	0.500000	0.774276	1.021916	72.183099	60.591133	
3.252308	1.012491	0.500000	0.736001	0.886980	73.873239	66.009852	
3.357143	1.075594	0.500000	0.714316	0.671465	72.957746	75.862069	
3.127608	0.991317	0.500000	0.674239	0.695975	73.521127	75.369458	
3.158165	0.981490	0.500000	0.696667	0.776223	75.000000	70.935961	
3.196496	1.002697	0.500000	0.681228	1.149130	75.140845	60.591133	
3.195930	0.962702	0.500000	0.643257	1.158685	75.352113	58.128079	
3.116256	0.964425	0.500000	0.919009	1.414332	66.126761	49.753695	
3.174513	1.005840	0.500000	0.837440	1.061453	70.140845	64.532020	
3.150580	0.975347	0.500000	0.768232	1.038901	71.408451	66.009852	
3.281441	0.991563	0.500000	0.740346	0.908232	73.450704	66.009852	
3.313446	1.025258	0.500000	0.701543	1.386745	75.492958	60.591133	
3.402343	0.982764	0.500000	0.697440	1.160927	74.507042	62.068966	
